CustomerID,TransactionID,Date,Product,Amount
CUST2693,T912708,2024-01-01,Formal Shoes,6233.31
CUST2422,T332123,2024-01-03,Belt,7758.2
CUST2325,T506592,2024-01-03,Kurti,7635.08
CUST2495,T534498,2024-01-05,Blazer,6894.66
CUST2659,T491508,2024-01-07,Formal Shoes,3992.95
CUST2629,T318375,2024-01-09,Belt,3033.33
CUST2794,T486264,2024-01-12,Kurti,8956.57
CUST2563,T814567,2024-01-12,Jeans,5163.76
CUST2422,T533385,2024-01-14,Cap,8498.29
CUST2536,T814413,2024-01-17,Cap,4370.92
CUST2563,T784583,2024-01-18,Blazer,7132.12
CUST2553,T603897,2024-01-23,Kurti,4136.72
CUST2439,T569375,2024-01-28,Blazer,5484.56
CUST2604,T454608,2024-01-28,Dress,4396.46
CUST2039,T406751,2024-01-31,Cap,7822.25
CUST2096,T783588,2024-01-31,Kurti,4253.23
CUST2402,T966539,2024-01-31,Blazer,3023.02
CUST2693,T402742,2024-02-01,Kurti,7374.2
CUST2174,T243222,2024-02-02,Formal Shoes,3956.35
CUST2424,T938683,2024-02-03,Lawn Suit,4519.83
CUST2325,T930136,2024-02-03,Formal Shoes,6505.71
CUST2627,T941018,2024-02-03,Saree,6163.94
CUST2754,T161672,2024-02-07,Saree,4556.11
CUST2225,T682075,2024-02-08,Saree,3472.27
CUST2629,T947009,2024-02-09,Cap,7913.22
CUST2159,T676529,2024-02-11,Sneakers,3898.91
CUST2584,T313313,2024-02-13,Jeans,5015.32
CUST2495,T153968,2024-02-14,Formal Shoes,4187.71
CUST2325,T605973,2024-02-15,Dress,4799.89
CUST2422,T673632,2024-02-16,Dress,6926.8
CUST2039,T404575,2024-02-16,Dress,5055.3
CUST2552,T273610,2024-02-16,Sneakers,6278.68
CUST2596,T289316,2024-02-17,Kurti,7942.91
CUST2264,T806355,2024-02-17,Belt,5269.82
CUST2691,T955701,2024-02-18,Lawn Suit,8227.97
CUST2749,T832335,2024-02-19,Saree,3623.74
CUST2225,T956396,2024-02-19,Formal Shoes,4751.85
CUST2067,T299404,2024-02-20,Jeans,4979.08
CUST2174,T827884,2024-02-21,Watch,5587.45
CUST2659,T211783,2024-02-22,Lawn Suit,7907.55
CUST2383,T129935,2024-02-22,Kurti,3715.92
CUST2563,T892944,2024-02-29,Jeans,8361.06
CUST2174,T411453,2024-03-01,Saree,5121.73
CUST2370,T423942,2024-03-02,Blazer,7642.58
CUST2596,T167874,2024-03-03,Watch,4095.86
CUST2096,T543851,2024-03-03,Sneakers,5408.54
CUST2032,T341729,2024-03-04,Belt,3719.23
CUST2536,T518448,2024-03-05,Sneakers,6639.47
CUST2758,T548429,2024-03-06,Jeans,5895.91
CUST2794,T745491,2024-03-07,Blazer,5782.07
CUST2039,T342001,2024-03-08,Belt,6758.66
CUST2584,T665848,2024-03-11,Handbag,3412.32
CUST2218,T705195,2024-03-11,Jeans,4539.33
CUST2604,T939806,2024-03-13,Saree,7172.82
CUST2754,T270305,2024-03-14,Watch,5625.65
CUST2112,T700781,2024-03-14,Saree,6468.42
CUST2205,T119656,2024-03-15,Lawn Suit,5040.26
CUST2627,T266311,2024-03-16,Handbag,4067.53
CUST2495,T219593,2024-03-17,Formal Shoes,2975.03
CUST2402,T918029,2024-03-17,Lawn Suit,5958.04
CUST2629,T167522,2024-03-18,Lawn Suit,6317.05
CUST2112,T486114,2024-03-19,Lawn Suit,3989.83
CUST2439,T981376,2024-03-19,Watch,3555.58
CUST2659,T533366,2024-03-20,Kurti,3152.4
CUST2383,T835547,2024-03-20,Jeans,5106.37
CUST2553,T309801,2024-03-22,Sneakers,8891.83
CUST2024,T275657,2024-03-23,Saree,5678.55
CUST2422,T716529,2024-03-23,Watch,8205.56
CUST2554,T516248,2024-03-24,Kurti,8574.08
CUST2552,T794783,2024-03-24,Saree,8398.83
CUST2159,T410486,2024-03-24,Kurti,3174.09
CUST2370,T614171,2024-03-25,Saree,6108.4
CUST2402,T314009,2024-03-27,Formal Shoes,6371.64
CUST2218,T414974,2024-03-29,Saree,6513.67
CUST2424,T500361,2024-03-31,Jeans,4786.33
CUST2693,T290512,2024-03-31,Belt,5027.6
CUST2205,T488508,2024-04-01,Saree,7981.4
CUST2725,T824894,2024-04-01,Handbag,7530.86
CUST2225,T665591,2024-04-03,Jeans,4610.92
CUST2754,T577380,2024-04-04,Saree,7297.09
CUST2749,T375055,2024-04-05,Cap,8815.76
CUST2659,T719947,2024-04-05,Dress,5724.83
CUST2383,T750128,2024-04-05,Blazer,7410.5
CUST2244,T734822,2024-04-06,Lawn Suit,7815.76
CUST2024,T545321,2024-04-06,Jeans,5066.3
CUST2205,T656928,2024-04-08,Saree,2713.88
CUST2603,T173789,2024-04-08,Kurti,9277.65
CUST2563,T779121,2024-04-08,Jeans,4995.2
CUST2039,T309201,2024-04-09,Saree,8579.53
CUST2495,T806229,2024-04-10,Cap,2890.62
CUST2067,T389215,2024-04-11,Cap,4895.57
CUST2370,T897707,2024-04-11,Blazer,4502.42
CUST2225,T187308,2024-04-13,Dress,4140.17
CUST2325,T539515,2024-04-13,Belt,8611.62
CUST2264,T379234,2024-04-14,Cap,4721.29
CUST2536,T579443,2024-04-15,Saree,6668.37
CUST2185,T160361,2024-04-15,Sneakers,3575.89
CUST2584,T110466,2024-04-16,Dress,8966.83
CUST2691,T733309,2024-04-17,Jeans,7503.19
CUST2495,T300539,2024-04-17,Blazer,6813.86
CUST2749,T977380,2024-04-17,Sneakers,5605.15
CUST2725,T673613,2024-04-18,Handbag,3393.27
CUST2439,T672764,2024-04-18,Handbag,3505.2
CUST2627,T810004,2024-04-19,Watch,6376.32
CUST2775,T144181,2024-04-19,Saree,2731.34
CUST2112,T168777,2024-04-21,Saree,6858.6
CUST2758,T527077,2024-04-22,Formal Shoes,3460.45
CUST2209,T797244,2024-04-22,Belt,9294.46
CUST2659,T788614,2024-04-23,Formal Shoes,6925.73
CUST2431,T582468,2024-04-23,Jeans,7892.3
CUST2174,T718287,2024-04-24,Sneakers,4527.18
CUST2662,T165485,2024-04-24,Watch,7433.73
CUST2553,T779724,2024-04-25,Blazer,5711.16
CUST2739,T812375,2024-04-25,Belt,6323.41
CUST2604,T815341,2024-04-25,Sneakers,4258.34
CUST2225,T157106,2024-04-25,Saree,8208.29
CUST2096,T731584,2024-04-26,Kurti,4590.25
CUST2629,T754885,2024-04-26,Kurti,3122.97
CUST2032,T504339,2024-04-26,Cap,7942.1
CUST2596,T236855,2024-04-28,Handbag,5472.68
CUST2584,T960733,2024-04-30,Kurti,4085.97
CUST2794,T853180,2024-04-30,Watch,4033.79
CUST2402,T555051,2024-05-03,Kurti,7444.0
CUST2754,T350877,2024-05-05,Handbag,7583.22
CUST2225,T267572,2024-05-05,Watch,5823.57
CUST2603,T748222,2024-05-05,Jeans,3234.69
CUST2691,T822870,2024-05-08,Formal Shoes,6751.88
CUST2370,T849544,2024-05-09,Kurti,6672.1
CUST2422,T423970,2024-05-13,Cap,6421.85
CUST2552,T912549,2024-05-15,Watch,7669.11
CUST2563,T256490,2024-05-15,Lawn Suit,10967.95
CUST2159,T841091,2024-05-15,Sneakers,3171.56
CUST2584,T262496,2024-05-16,Lawn Suit,4085.25
CUST2063,T280696,2024-05-16,Sneakers,6583.67
CUST2209,T150134,2024-05-16,Handbag,4466.47
CUST2424,T267367,2024-05-18,Belt,3172.1
CUST2775,T290421,2024-05-19,Formal Shoes,7330.42
CUST2552,T834865,2024-05-20,Blazer,4814.92
CUST2024,T991039,2024-05-21,Jeans,7515.14
CUST2218,T949151,2024-05-21,Jeans,6510.4
CUST2079,T409123,2024-05-21,Saree,5643.63
CUST2788,T881491,2024-05-21,Watch,5998.56
CUST2554,T244009,2024-05-22,Saree,8131.3
CUST2185,T790169,2024-05-22,Kurti,6608.18
CUST2159,T132484,2024-05-22,Lawn Suit,5093.69
CUST2763,T902906,2024-05-23,Blazer,5919.32
CUST2325,T498274,2024-05-23,Kurti,3251.73
CUST2693,T226792,2024-05-23,Dress,3393.2
CUST2383,T322389,2024-05-23,Saree,4582.24
CUST2174,T342049,2024-05-25,Lawn Suit,8205.09
CUST2194,T822316,2024-05-25,Jeans,3986.34
CUST2596,T748687,2024-05-27,Handbag,4846.96
CUST2218,T736787,2024-05-27,Handbag,9036.58
CUST2753,T929066,2024-05-28,Cap,7553.63
CUST2205,T613134,2024-05-29,Cap,7273.52
CUST2536,T940120,2024-05-29,Watch,4396.49
CUST2402,T271118,2024-05-29,Formal Shoes,7926.1
CUST2739,T439678,2024-05-30,Saree,3931.96
CUST2067,T858416,2024-05-30,Belt,7506.51
CUST2659,T378430,2024-05-30,Formal Shoes,6911.31
CUST2422,T243133,2024-05-31,Kurti,6720.5
CUST2749,T172628,2024-06-01,Watch,7755.74
CUST2112,T835260,2024-06-01,Saree,8308.08
CUST2725,T181420,2024-06-01,Saree,4678.5
CUST2244,T500005,2024-06-01,Jeans,3480.45
CUST2264,T108200,2024-06-02,Saree,5229.2
CUST2603,T805444,2024-06-03,Kurti,8256.42
CUST2039,T999707,2024-06-04,Saree,7050.47
CUST2159,T765227,2024-06-05,Jeans,3975.26
CUST2648,T446562,2024-06-05,Lawn Suit,4929.32
CUST2185,T664658,2024-06-06,Handbag,5328.75
CUST2495,T525690,2024-06-06,Formal Shoes,3593.69
CUST2262,T351859,2024-06-07,Formal Shoes,6327.9
CUST2693,T667030,2024-06-08,Dress,5167.46
CUST2402,T249524,2024-06-08,Dress,3071.3
CUST2032,T563140,2024-06-09,Watch,7416.75
CUST2627,T530494,2024-06-10,Belt,7954.56
CUST2431,T518330,2024-06-10,Belt,3323.41
CUST2758,T571800,2024-06-11,Handbag,6905.16
CUST2763,T206910,2024-06-11,Watch,8376.92
CUST2439,T929197,2024-06-11,Saree,8730.13
CUST2604,T812151,2024-06-11,Lawn Suit,8136.44
CUST2370,T147806,2024-06-12,Cap,6539.02
CUST2096,T174708,2024-06-13,Cap,6356.78
CUST2187,T554944,2024-06-14,Jeans,8576.69
CUST2629,T348113,2024-06-15,Kurti,6458.51
CUST2725,T212243,2024-06-16,Lawn Suit,7445.24
CUST2553,T167910,2024-06-18,Sneakers,7566.99
CUST2402,T999618,2024-06-20,Cap,7186.57
CUST2435,T854339,2024-06-20,Kurti,5660.69
CUST2662,T340926,2024-06-20,Belt,6422.04
CUST2424,T134080,2024-06-21,Blazer,8321.2
CUST2749,T447947,2024-06-21,Saree,7317.36
CUST2563,T466820,2024-06-21,Watch,6705.09
CUST2691,T233106,2024-06-23,Dress,3111.27
CUST2225,T895550,2024-06-23,Handbag,8695.41
CUST2629,T540124,2024-06-25,Saree,4037.58
CUST2422,T942263,2024-06-25,Watch,4043.96
CUST2725,T921270,2024-06-27,Dress,5147.94
CUST2672,T585458,2024-06-27,Saree,4245.19
CUST2063,T659907,2024-06-27,Handbag,3867.26
CUST2794,T937697,2024-06-27,Belt,3651.63
CUST2435,T664209,2024-06-28,Belt,4253.54
CUST2246,T163499,2024-06-29,Formal Shoes,4345.92
CUST2754,T894983,2024-06-29,Lawn Suit,8261.45
CUST2739,T894712,2024-06-30,Watch,5605.83
CUST2262,T375399,2024-06-30,Sneakers,6700.4
CUST2775,T881305,2024-07-01,Blazer,7119.7
CUST2604,T252795,2024-07-01,Formal Shoes,9043.84
CUST2187,T982755,2024-07-01,Dress,8405.16
CUST2352,T860967,2024-07-01,Lawn Suit,6019.26
CUST2090,T492607,2024-07-02,Dress,4277.32
CUST2096,T555063,2024-07-02,Cap,7504.28
